번호,시장명,상호명,주소,대표,연락처,취급품목(업종)
143957,(새)인현지하상가,고려식당,인천시 중구 인현동 1 인현지하상가,박희정,-,한식
143956,(새)인현지하상가,우성식당,인천시 중구 인현동 1 인현지하상가,유근분,-,한식
143955,(새)인현지하상가,몽실 뜨개방,"인천 중구 참외전로59번길 121, 95호(송월동2가, 인현지하상가)",장애진,-,잡화
143954,(새)인현지하상가,올스마트,"인천 중구 참외전로 117-15, 10호(인현동, 인현지하상가)",이주현,-,잡화
143953,(새)인현지하상가,Style girl,인천시 중구 인현동 1 인현지하상가,송진주,-,의류
143952,(새)인현지하상가,나무,인천시 중구 인현동 1 인현지하상가,김춘자,-,의류
143951,(새)인현지하상가,노니,인천시 중구 인현동 1 인현지하상가,조문경,-,의류
143950,(새)인현지하상가,멋쟁이,인천시 중구 인현동 1 인현지하상가,이순심,-,의류
143949,(새)인현지하상가,미라클,인천시 중구 인현동 1 인현지하상가,전창순,-,의류
143948,(새)인현지하상가,밍키패션,인천시 중구 인현동 1 인현지하상가,노영희,-,의류
143947,(새)인현지하상가,부티나,인천시 중구 인현동 1 인현지하상가,허옥희,-,의류
143946,(새)인현지하상가,올리브,인천시 중구 인현동 1 인현지하상가,박지영,-,의류
143945,(새)인현지하상가,프러포즈,인천시 중구 인현동 1 인현지하상가,정경애,-,의류
143944,(새)인현지하상가,화평지하상가(십자수),인천광역시 중구 인현동 1,이순규,032-773-0063,십자수
143943,(새)인현지하상가,올스마트,인천 중구 인현동 지하상가 73호,이영순,032-763-0505,생활용품
143942,(새)인현지하상가,ZOOM,인천시 중구 인현동 1 인현지하상가,최지우,-,사진촬영
143941,(새)인현지하상가,신데렐라,인천시 중구 참외전로 지하121,이슬기,-,미용업
143940,(새)인현지하상가,그린모사,"인천광역시 중구 참외전로 지하 121, 26호(인현동, 인현지하도상가)",이정순,-,모사
143939,(새)인현지하상가,뷰티몰,인천 중구 인현동 1 인현지하상가 57~58,노창숙,032-763-8739,-
143938,(새)인현지하상가,인현지하도상가상인회,인천 중구 참외전로 121,박경하,032-777-7017,-
번호,시장명,상호명,주소,대표,연락처,취급품목(업종)
143937,(새)인현지하상가,플라스,인천중구인현동1,조순옥,-,-
143936,(용봉동)패션의거리,미용재료백화점,광주 북구 설죽로 192(용봉동),김이종,-,화장품
143935,(용봉동)패션의거리,만수무강,광주광역시 북구 설죽로 196,이승해,062-525-8253,한복
143934,(용봉동)패션의거리,알레르망용봉점,광주시 북구 설죽로255(용봉동),조단일,-,커튼
143933,(용봉동)패션의거리,님프만궁전혼수방,광주 북구 용봉동 1337-6,조정희,062-513-2766,침구
143932,(용봉동)패션의거리,루나,"광주시 북구 설죽로233, 2층(용봉동)",조정미,-,잡화
143931,(용봉동)패션의거리,다이나핏용봉점,광주광역시 북구 설죽로 197(용봉동),오승언,0625238747,"의류,용품"
143930,(용봉동)패션의거리,㈜포틀랜드,광주 북구 용봉동 1371-1,남도희,062-521-4545,"의류,안전용품"
143929,(용봉동)패션의거리,제이앤피코퍼레이션,"광주광역시 북구 설죽로 245, 1,2동(용봉동, 길후빌딩)",김종필,0625312200,"의류,악세서리"
143928,(용봉동)패션의거리,(주)빈폴광주용봉,광주광역시 북구 용봉택지로 96,문성희,062-525-8851,의류
143927,(용봉동)패션의거리,2XU용봉점,광주시 북구 설죽로208(용봉동) 1348-19,정재윤,-,의류
143926,(용봉동)패션의거리,LF용봉종합,광주광역시 북구 용봉동 1256-1,암현수,062-529-4997,의류
143925,(용봉동)패션의거리,SI,광주 북구 용봉동 1370-3,이은영,062-515-3633,의류
143924,(용봉동)패션의거리,pat,광주광역시 북구 설죽로 217,최보은,062-513-2535,의류
143923,(용봉동)패션의거리,㈜뱅뱅어페럴,광주 북구 용봉동 1371-1,진용호,062-512-7220,의류
143922,(용봉동)패션의거리,고운우리옷,"광주시 북구 설죽로233, 2층(용봉동)",이영미,-,의류
143921,(용봉동)패션의거리,그린조이용봉점,광주시 북구 비엔날레로194,박수정,-,의류
143920,(용봉동)패션의거리,뉴발란스,광주광역시 북구 설죽로 203,박세훈,062-512-7780,의류
143919,(용봉동)패션의거리,닥스헤지스키즈,광주광역시 북구 설죽로 188,최흥숙,062-526-9399,의류
143918,(용봉동)패션의거리,데상트,광주광역시 북구 설죽로 215,박은희,062-511-4743,의류
번호,시장명,상호명,주소,대표,연락처,취급품목(업종)
143917,(용봉동)패션의거리,디즈니 광주용봉점,광주시 북구 설죽로190,이복순,-,의류
143916,(용봉동)패션의거리,라푸마,광주광역시 북구 설죽로 235,김복실,062-511-9090,의류
143915,(용봉동)패션의거리,런던포그,광주광역시 북구 설죽로 220,강영혜,062-529-8595,의류
143914,(용봉동)패션의거리,레노마골프,광주광역시 북구 설죽로 227,이승훈,062-523-6004,의류
143913,(용봉동)패션의거리,루이카스텔,광주광역시 북구 설죽로 234,곽수진,062-529-7980,의류
143912,(용봉동)패션의거리,르꼬끄,광주광역시 북구 설죽로 227,박민호,062-515-1280,의류
143911,(용봉동)패션의거리,르꼬끄스포트티브용봉,광주시 북구 설죽로215,박순아,-,의류
143910,(용봉동)패션의거리,마운티아,광주광역시 북구 설죽로 188,박준우,062-531-5700,의류
143909,(용봉동)패션의거리,마코용봉점,광주시 북구 설죽로169(용봉동),허정미,-,의류
143908,(용봉동)패션의거리,문흥스포츠,-,문연숙,062-385-0077,의류
143907,(용봉동)패션의거리,"발렌시아,더아이잗",광주광역시 북구 설죽로 237,박정희,062-571-0009,의류
143906,(용봉동)패션의거리,뱅뱅어패럴,광주광역시 북구 설죽로 227,류지홍,062-512-7220,의류
143905,(용봉동)패션의거리,베스띠벨리,광주광역시 북구 설죽로 233번지,최정숙,062-515-2224,의류
143904,(용봉동)패션의거리,벤제프골프,광주시 북구 설죽로199(용봉동),박순미,-,의류
143903,(용봉동)패션의거리,보스트로,광주광역시 북구 설죽로 201,김성기,062-523-9494,의류
143902,(용봉동)패션의거리,블랙야크 용봉점,광주시 북구 설죽로255(용봉동),김금자,-,의류
143901,(용봉동)패션의거리,블루페페스포츠,광주시 북구 설죽로251,강명숙,-,의류
143900,(용봉동)패션의거리,스파이더,광주광역시 북구 용봉택지로 96,김광희,062-512-7555,의류
143899,(용봉동)패션의거리,아디다스,광주광역시 북구 용동택지로 96,홍혜란,062-528-3039,의류
143898,(용봉동)패션의거리,아이더광주용봉유한회,광주광역시 북구 설죽로 239,허인모,062-515-2020,의류
번호,시장명,상호명,주소,대표,연락처,취급품목(업종)
143897,(용봉동)패션의거리,에스티오,광주광역시 북구 설죽로 218-1,최만진,062-531-3592,의류
143896,(용봉동)패션의거리,엘르용봉점,광주광역시 북구 용봉동 1357-4,조성수,062-512-3338,의류
143895,(용봉동)패션의거리,올리비아로렌 용봉점,"광주광역시 북구 설죽로 193-1, 1층",유미,-,의류
143894,(용봉동)패션의거리,올리비아하슬러용봉점,광주시 북구 설죽로169(용봉동),김원호,-,의류
143893,(용봉동)패션의거리,올포유,광주광역시 북구 설죽로 173번길,이장완,062-523-8181,의류
143892,(용봉동)패션의거리,올포유용봉점,광주광역시 북구 설죽로 173(용봉동),이정우,0625238181,의류
143891,(용봉동)패션의거리,와이드앵글,광주광역시 북구 설죽로 198-1,유충래,062-527-5280,의류
143890,(용봉동)패션의거리,웰메이드,광주광역시 북구 용봉동 1374-1,주순애,062-511-9950,의류
143889,(용봉동)패션의거리,이동수에프앤지,"광주광역시 북구 설죽로 193, 1층",최금희,062-515-5764,의류
143888,(용봉동)패션의거리,이젠벅,광주 북구 용봉동 1357-5,강은경,062-529-8100,의류
143887,(용봉동)패션의거리,지센,광주 북구 설죽로245,김용수,062-511-6202,의류
143886,(용봉동)패션의거리,캘러웨이 용봉점,광주광역시 북구 설죽로 178,주현자,062-485-0101,의류
143885,(용봉동)패션의거리,캘러웨이용봉점,광주광역시 북구 설죽로 178,나혜정,062-465-0101,의류
143884,(용봉동)패션의거리,캠프라인,광주광역시 북구 설죽로 229,홍익표,062-514-2221,의류
143883,(용봉동)패션의거리,컬럼비아용봉점,광주광역시 북구 설죽로 173,최종복,062-521-4545,의류
143882,(용봉동)패션의거리,코오롱스포츠(용봉점),광주 북구 용봉동 1385-6,오정자,062-522-8953,의류
143881,(용봉동)패션의거리,콜핑용봉점,광주광역시 북구 설죽로 255,김종순,062-529-5884,의류
143880,(용봉동)패션의거리,크로커다일레이디,광주 북구 용봉동 1412-4,유현주,062-434-4311,의류
143879,(용봉동)패션의거리,파리게이츠,광주 북구 용봉동1231-10,소용호,-,의류
