번호,상호명,주소,연락처,취급품목(업종)
40,가나안지물포,서울시 구로구 디지털로19길 51,-,잡화
39,가리봉시장반찬,서울 구로구 가리봉동 126-7,-,반찬
38,가리봉시장상인회,서울시 구로구 우마3길15(가리봉동 123-62호),02-854-8979,상인회환전대행
37,가산순대국,서울시 금천구 가산동 143-11,02-830-7514,음식(한식)
36,고려마트,서울시 구로구 가리봉동 123-52,02-839-4668,소매(슈퍼마켓)
35,고향반찬,서울 구로구 가리봉동 126-7,-,반찬
34,구씨네수산,서울 구로구 가리봉동 126-7,-,수산물
33,금산인삼,서울 구로구 가리봉동 131-34,-,식품
32,나주상회,서울시 구로구 우마길17(가리봉동 126-1),02-866-3179,"소매(식품,잡화)"
31,나주상회,서울 구로구 가리봉동 126-1,-,식품
30,논산상회,서울시 구로구 가리봉동 126-1,02-865-9249,"소매(식료,잡화)"
29,논산상회,서울 구로구 가리봉동 126-1,-,식품
28,대성농산,서울 구로구 디지털로19길 42,-,참기름
27,대지기물,서울 구로구 가리봉동 126-1,-,가정용품
26,대지기물,서울시 구로구 우마길 17,02-853-1188,소매(기타기물잡화)
25,동성약국,서울 구로구 디지털로19길 51,-,양약
24,동원정육점,서울 구로구 가리봉동 132-97,-,축산물
23,만과상회,서울 구로구 가리봉동 126-1,-,과일
22,만과상회,서울시 구로구 우마길 17(가리봉1동126-1),02-862-4966,소매(과일)
21,삼희F&B,서울 구로구 가리봉동 123-77,-,식품
번호,상호명,주소,연락처,취급품목(업종)
85,강남수산,서울특별시 강남구 개포로82길 9-17(개포동),-,도소매(수산물)
84,강남오리,서울 강남구 개포2동 186-16 현대빌딩 202호,02-451-9252,음식(한식)
83,개포건어물,서울시 강남구 개포3동 186-6번지 남광빌딩 110-3,02-445-7934,소매업(생선)
82,개포골,서울 강남구 개포동 186-1,-,음식점
81,개포반찬마을,서울 강남구 개포동 186-7 대화빌딩 106호,02-3412-0773,음식(휴게음식점)
80,고깃집심서방본점,서울시 강남구 개포동 186-17 개포종합상가 지하,02-445-7487,음식(분식)
79,곽선생왕만두,서울 강남구 개포동 186-1,-,음식점
78,구구치킨,서울 강남구 개포로 82길 5-8,-,음식점
77,군자 주먹고기,"서울특별시 강남구 개포로82길 9-15, 1층 101호(개포동)",-,음식(한식)
76,굴비명가,서울시 강남구 개포로82길 11,1544-2430,도소매(굴비)
75,깐부치킨,"서울시 강남구 개포2동 186-16, 108호",02-3411-9200,음식점업(치킨)
74,나무현,서울 강남구 개포동 186-3,-,의류
73,내고향왕만두 개포점,서울시 강남구 개포동 186-7,02-3463-9900,휴게음식(간이음식)
72,농협안심축산물판매장,서울시 강남구 개포동 186-10,02-445-7727,축산
71,늘봄하나로축산,서울특별시 강남구 개포로82길 13-11(개포동),02-3411-5148,도소매(식육)
70,늘봄하나로축산,"서울시 강남구 개포로82길 13-11, 103,104호",-,도소매(식육가공판매)
69,대한상회,서울시 강남구 개포2동 개포로88길 공신빌딩 109호,02-2226-7771,"소매(농수산물, 야채등)"
68,더드림,서울특별시 강남구 개포로 512(개포동) 116 서울특별시 강남구 개포동 186-17 개포종합상가 116,02-3411-9255,음식(한식)
67,도야 족발,서울특별시 강남구 개포로 512(개포동),02-3411-6000,음식점
66,돈족발,서울시 강남구 개포동 186-5,02-3411-8224,음식(족발)
번호,상호명,주소,연락처,취급품목(업종)
65,동대문엽떡(개포동),"서울특별시 강남구 개포로 506,1층 3호, 청우빌딩 1층",02-2226-8592,음식(한식)
64,둘둘치킨 개포동역점,"서울시 강남구 개포동 186-12번지, 101, 201호",02-3412-2292,음식(치킨)
63,마포 생 소금구이,서울특별시 강남구 개포로82길 7(개포동),02-3412-1090,음식점
62,맘앤팜,서울시 강남구 개포동 186-8 1층 3호,02-445-5331,소매(식육)
61,맘앤팜미도정육백화점,"서울특별시 강남구 개포로82길 9-17,1층 2,3호(개포동)",02-445-5331,소매(식육즉석판매가공업)
60,맥트레이닝,서울 강남구 개포동 186-14,-,스포츠시설
59,메이린,서울특별시 강남구 개포로 512(개포동) 106 서울특별시 강남구 개포동 186-17 개포종합상가 106,02-3412-7059,음식(커피전문점)
58,명가한우돈,서울시 강남구 개포동 186-11,02-2226-7505,도매(축산물)
57,모닝글로리,서울 강남구 개포동 186-11,02-3411-5401,소매업(문구)
56,미도마을,서울시 강남구 개포로 82길 9-17,02-445-5331,소매(식육판매점)
55,미도파한우마을,서울 강남구 개포동 186-8,02-445-5331,식육
54,미도한우마을,서울시 강남구 개포동 186-1,02-557-3232,음식(한식)
53,반찬까페,"서울시 강남구 개포로 510, 105호",02-459-0665,음식(반찬)
52,보떼 개포주공점,서울 강남구 개포로 82길 9-12 102호,02-3412-8408,소매(화장품)
51,보아스,서울특별시 강남구 개포로 510(개포동) 202호 서울특별시 강남구 개포동 186-16 현대빌딩 202호,-,휴계음식(카페)
50,본죽개포동역점,"서울특별시 강남구 개포로 510(개포동), 현대빌딩, 104호",02-445-6288,음식(분식)
49,부산어묵직판장,서울시 강남구 개포2동 186-5 101호,-,음식(분식)
48,불티나 부산어묵,"서울시 강남구 개포로82길5-8, 1층 1호(개포동186-11)",-,"소매(어묵,가공식품)"
47,뻑꺼구리촌,서울시 강남구 개포동 186-12 12층 2호,02-445-9491,음식(한식)
46,사보르김밥,서울 강남구 개포동 186-10,-,음식점
번호,상호명,주소,연락처,취급품목(업종)
45,삼양손두부,서울시 강남구 개포로 82길 13-17,02-459-5854,"소매(손두부), 제조(손두부)"
44,삼우자동차관리,"서울특별시 강남구 개포로82길11(개포동),삼우빌딩 107호",-,서비스(자동차정비)
43,삼정고추장삼겹살쭈꾸,서울시 강남구 개포동 186-11,02-3411-4445,음식(한식)
42,상록화원,"서울특별시 강남구 개포로82길 13-17(개포동),대화빌딩,1층",-,소매(생화)
41,서울강남청과,"서울시 강남구 개포로88길6, 1층2호",02-451-1211,소매(청과)
40,소담족발,서울시 강남구 개포동 186-8,02-3411-5835,음식(한식)
39,순대국생각,서울 강남구 개포2동 186-6 남광빌딩 102호,02-3412-3456,순대국
38,슈퍼키친,서울 강남구 개포동 186-4,-,반찬
37,시나브로,서울시 강남구 개포동 186-17,02-3411-7797,음식(한식)
36,신성상사,서울 강남구 개포동 186-15,-,자전거
35,신성상사(삼천리㈜),"서울특별시 강남구 개포로 508,106호,소망빌딩, 106호",02-3411-4369,소매(자전거)
34,신의주찹쌀순대,서울특별시 강남구 개포로82길 9-15(개포동) 102 서울특별시 강남구 개포동 186-9 102호,02-451-8988,음식(한식)
33,심숙이,서울 강남구 개포동 186-9,-,음식점
32,쌀통닭,서울 강남구 개포동 186-4,-,음식점
31,아이케어안경원,서울시 강남구 개포동 186-1,02-445-4285,소매업(안경)
30,오복농산,서울 강남구 개포동 186-10,-,농산물
29,오빠네,서울시 강남구 개포로 82길 9-17 대양빌딩 1층,02-451-1336,"소매업(농산물, 과실, 공산품등)"
28,올리비아로렌,서울 강남구 개포동 186-3 삼우빌딩 108.9호,02-445-7239,의류
27,왕대박,"서울시 강남구 개포동 186-10,2층",02-445-7669,음식(한식)
26,우리생고기,서울 강남구 개포동 186-7,-,축산물
번호,상호명,주소,연락처,취급품목(업종)
25,우리서점,"서울특별시 강남구 개포로 82길 13-15, 202호(개포동, 남광빌딩)",02-3411-3215,소매(도서문구)
24,원조식당,서울특별시 강남구 개포로82길7 (개포동186-12),02-2226-5948,음식(한식)
23,유미분식,서울 강남구 개포로 82길 58,02-3411-3250,음식및숙박업(중국음식점업)
22,정관장홍삼,서울 강남구 개포동 186-17 107호,02-459-2304,소매(홍삼)
21,제일떡집,서울시 강남구 개포동 196-10번지,-,음식
20,제일떡집,서울시 강남구 개포동 186-10,445-5053,떡
19,제일떡집,"서울시 강남구 개포로82길 9-11, 106,107호",02-445-5053,도소매(떡)
18,좋은 안경원,서울특별시 강남구 개포로 512(개포동),02-3412-3417,소매업(안경)
17,주매니아,서울특별시 강남구 개포로82길 9-15(개포동),02-3411-8181,음식(한식)
16,주박사양곱창,서울시 강남구 개포로82길 5-8 성지빌딩,02-451-1090,음식(한식)
15,지미네세탁소,서울 강남구 개포로 82길 5-8,02-445-2554,서비스(세탁)
14,천연헤나,서울 강남구 개포동 186-17,-,미용실
13,청담동꿀꽈배기,서울 강남구 개포동 186-4,-,음식점
12,친환경농산물,서울 강남구 개포로82길 5-8,02-445-0086,소매(야채)
11,친환경농산물,"서울시 강남구 개포로 82길 5-8, 7호",02-445-0113,소매(청과)
10,크레용화방,"서울시 강남구 개포로 506(개포동),청우빌딩 106",02-2226-0358,"소매업(문구,교구)"
9,파리바게뜨,서울시 강남구 개포동 186-4 1층,-,음식(제과점)
8,펀비어킹강남개포역점,서울특별시 강남구 개포로82길 5-8(개포동) 104호 서울특별시 강남구 개포동 186-11 성지빌딩 104호,02-451-1090,음식(한식)
7,포커스당구클럽,서울특별시 강남구 개포로82길 9-15(개포동) 지하1층 서울특별시 강남구 개포동 186-9 지하1층,-,서비스(당구장)
6,프라자헤어,서울특별시 강남구 개포로 510(개포동),-,근린서비스(미용)
번호,상호명,주소,연락처,취급품목(업종)
